onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
449.188	1.0	450.063	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.775	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	1	False
451.293	1.0	452.817	0.1	2.136	True	71.0	High-Low	stay	twobytwo	71.0	1.424	blue	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
454.336	1.0	455.862	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.626	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
456.441	1.0	457.61	0.1	2.0	True	89.0	High-Low	switch	twobytwo	89.0	1.069	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
459.348	1.0	460.654	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.406	orange	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
461.456	1.0	462.382	0.1	2.272	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.826	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
463.836	1.0	464.864	0.1	2.408	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.928	orange	1.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
466.351	1.0	467.124	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.673	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
469.258	1.0	470.668	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.51	blue	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
472.165	1.0	474.094	0.9	2.0	True	89.0	High-Low	switch	twobytwo	89.0	1.029	blue	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
475.072	1.0	476.592	0.9	2.272	True	71.0	High-Low	stay	twobytwo	71.0	0.62	orange	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
477.453	1.0	478.15	0.1	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.597	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
479.701	1.0	480.864	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	1.063	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
481.809	1.0	482.674	0.1	2.544	True	71.0	Magnitude	switch	twobytwo	71.0	0.765	blue	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
484.464	1.0	485.62	0.1	2.272	True	89.0	Color	n/a	twobytwo	89.0	1.056	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
487.642	1.0	489.119	0.9	2.272	True	71.0	Color	stay	twobytwo	71.0	0.577	orange	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
490.827	1.0	492.254	0.9	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.527	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
493.733	1.0	495.256	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.623	blue	7.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
496.637	1.0	498.208	0.9	2.136	True	89.0	High-Low	n/a	twobytwo	89.0	0.671	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
498.885	1.0	499.907	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.922	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
