onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
275.823	1.7	277.523	0.5788893361882868	draw_card	1.7	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	12.0	1.0	2.0	0.8497724887623122	1.7	1.0	stim	poldrack-single-stim	s624	False	0
278.276	1.5	277.525	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
279.848	2.332	282.18	-0.4211106638117132	draw_card	2.332	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	15.0	1.0	3.0	-0.6910066592224524	2.332	1.0	stim	poldrack-single-stim	s624	False	0
282.934	1.5	282.183	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
284.438	2.199	286.637	-1.1711106638117132	draw_card	2.199	columbia_card_task_fmri	14.0	0.8125	89.0	-70.0	0.1875	16.0	1.0	3.0	0.0951072957790089	2.199	n/a	stim	poldrack-single-stim	s624	False	1
286.639	1.614	288.253	-2.221110663811712	draw_card	1.614	columbia_card_task_fmri	14.0	0.8	89.0	-70.0	0.2	16.0	2.0	3.0	0.9087440591651514	1.614	n/a	stim	poldrack-single-stim	s624	False	1
288.256	0.947	289.203	-3.421110663811713	draw_card	0.947	columbia_card_task_fmri	14.0	0.7857142857142857	89.0	-70.0	0.2142857142857142	16.0	3.0	3.0	1.775994472210094	0.947	n/a	stim	poldrack-single-stim	s624	False	1
289.206	1.416	290.622	-4.805726048427099	end_round	1.416	columbia_card_task_fmri	14.0	0.7692307692307692	71.0	-70.0	0.2307692307692307	16.0	4.0	3.0	2.69979542527836	1.416	3.0	stim	poldrack-single-stim	s624	False	1
291.376	1.5	290.625	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
293.083	3.478	296.561	-1.2336106638117132	draw_card	3.478	columbia_card_task_fmri	11.0	0.6875	89.0	-30.0	0.3125	16.0	1.0	5.0	-13.683418891183177	3.478	1.0	stim	poldrack-single-stim	s624	False	0
297.315	1.5	296.564	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
298.887	1.92	300.807	3.5788893361882868	draw_card	1.92	columbia_card_task_fmri	15.0	0.8666666666666667	89.0	-75.0	0.1333333333333333	15.0	1.0	2.0	-2.096649024651061	1.92	n/a	stim	poldrack-single-stim	s624	False	1
300.811	0.698	301.509	2.721746479045431	draw_card	0.698	columbia_card_task_fmri	15.0	0.8571428571428572	89.0	-75.0	0.1428571428571428	15.0	2.0	2.0	-1.1974829087816443	0.698	n/a	stim	poldrack-single-stim	s624	False	1
301.513	1.375	302.888	1.73273549003444	draw_card	1.375	columbia_card_task_fmri	15.0	0.8461538461538461	89.0	-75.0	0.1538461538461538	15.0	3.0	2.0	-0.2189736620946263	1.375	n/a	stim	poldrack-single-stim	s624	False	1
302.891	1.103	303.994	0.5788893361882868	end_round	1.103	columbia_card_task_fmri	15.0	0.8333333333333334	71.0	-75.0	0.1666666666666666	15.0	4.0	2.0	0.8497724887623122	1.103	3.0	stim	poldrack-single-stim	s624	False	1
304.747	1.5	303.996	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
306.319	1.439	307.758	5.312222669521621	draw_card	1.439	columbia_card_task_fmri	17.0	0.8666666666666667	89.0	-75.0	0.1333333333333333	15.0	1.0	2.0	-1.4168987847555847	1.439	n/a	stim	poldrack-single-stim	s624	False	1
